Gewässer,Messstelle,Zusatzbezeichnung,Kurzbezeichnung,Gemeinde,Einzugsgebiet km²,Koordinaten,Koordinaten,Höhe m ü.M.,Status,Datum,IBCH (Index wirbellose Wassertiere),Beurteilung - IBCH
Stocknerbach,OGT222,,OGT222,Nesslau,118.12,2'733'599,1'231'655,761,einmalig,10.3.2016,16,gut
Bitzibach,Bitzi,,OGT159,Mosnang,3.229,2'722'307,1'247'247,680,einmalig,10.3.2016,14,gut
Dorfbach Bütschwil,Ob. Mündung Thur,,OGT234,Bütschwil-Ganterschwil,.,2'723'934,1'247'073,561,einmalig,17.3.2017,15,gut
Schwarzenbach,Stiglen,,OGT163,Jonschwil,3.877,2'723'000,1'255'620,550,einmalig,10.3.2016,13,gut
Alpbach,OGT220,,OGT220,Wil (SG),532.646,2'722'837,1'256'976,515,einmalig,26.2.2016,7,unbefriedigend
Krebsbach,OGT225,,OGT225,Wil (SG),12.172,2'721'228,1'258'652,579,einmalig,17.3.2016,8,unbefriedigend
Furtbach,OGT226,,OGT226,Wil (SG),3.486,2'722'514,1'259'466,594,einmalig,17.3.2016,16,gut
Niederstetterbach,ob. Mündung,,OGT224,Uzwil,1.869,2'724'094,1'257'229,516,einmalig,16.3.2016,10,mässig
Fluetkanal,Fluetkanal,,OGT238,Oberuzwil,.,2'726'948,1'254'499,568,einmalig,17.3.2017,11,mässig
Sonnentalerbach,OGT223,,OGT223,Oberbüren,1.553,2'728'485,1'257'474,493,einmalig,10.3.2016,9,mässig
Glatt,Buechental,,OGT013,Oberbüren,90.697,2'729'305,1'256'358,495,beobachtet,6.3.2019,,gut
Glatt,Glatthalde,nach ARA Oberglatt,OGT065,Flawil,67.299,2'732'800,1'253'111,570,beobachtet,19.3.2020,13,gut
Glatt,Sonnenhalden,ob ARA Oberglatt,OGT066,Flawil,67.299,2'733'453,1'252'738,570,beobachtet,19.3.2020,,sehr gut
Glatt,Oberglatt ob ARA,,OGT151,Flawil,64.989,2'733'680,1'252'780,575,beobachtet,28.2.2017,15,gut
Glatt,Isenhammer ob Dorfbach,,OGT016,Gossau (SG),38.827,2'734'265,1'252'646,590,beobachtet,28.2.2017,15,gut
Fenngraben,Höfrig,,OGT230,Gossau (SG),.,2'734'610,1'253'208,619,einmalig,16.3.2017,12,mässig
Loobach,b. Mühlebachstrasse,,OGT237,Niederbüren,.,2'735'466,1'256'131,580,einmalig,16.3.2017,8,unbefriedigend
Albertswilerbach,ob. Mündung,,OGT232,Gossau (SG),.,2'735'445,1'256'101,580,einmalig,16.3.2017,8,unbefriedigend
Dorfbach Gossau,Haslenmühle,,OGT073,Gossau (SG),22.095,2'735'376,1'252'371,620,beobachtet,27.2.2017,13,gut
Rütibach,ob. Zufluss Egghölzlibach,,OGT240,Gossau (SG),.,2'735'542,1'252'141,632,einmalig,3.4.2017,8,unbefriedigend
Rütibach Gossau,unterhalb Zufluss Egghölzlibach,,OGT239,Gossau (SG),.,2'735'471,1'252'241,626,einmalig,3.4.2017,12,gut
Glatt,Tobelmüli,unter Wissbach,OGT068,Gossau (SG),38.827,2'735'388,1'251'312,610,beobachtet,28.2.2017,16,gut
Glatt,Tüfi,nach ARA Bachwis,OGT069,Herisau,15.4,2'737'379,1'251'003,690,beobachtet,28.2.2017,15,gut
Glatt,Ifang,,OGT150,Herisau,7.665,2'737'478,1'248'403,765,beobachtet,28.2.2017,15,gut
Andwilerbach,Mettendorf,,OGT079,Gossau (SG),4.05,2'738'100,1'253'540,670,einmalig,10.3.2016,12,mässig
Chellenbach,Matter Wald,,OGT078,Gossau (SG),6.111,2'738'700,1'253'650,660,beobachtet,27.2.2017,14,gut